dep;vaccin;jour;n_tot_dose1;n_tot_dose2;n_tot_dose3;n_tot_dose4;n_tot_rappel
88;4;2022-02-28;7435;22;1;0;6
88;5;2022-02-28;1343;885;8;0;8
89;1;2022-02-28;205588;202330;128974;536;136939
89;2;2022-02-28;29901;34270;54185;139;59478
89;3;2022-02-28;19797;16181;13;0;3
89;4;2022-02-28;6512;36;2;0;5
89;5;2022-02-28;1205;760;11;0;14
90;1;2022-02-28;80617;79300;53131;161;57352
90;2;2022-02-28;13571;14394;17753;26;19629
90;3;2022-02-28;8179;6259;5;0;6
90;4;2022-02-28;1695;2;0;0;0
90;5;2022-02-28;607;417;2;0;3
91;1;2022-02-28;787840;743775;383284;1078;427558
91;2;2022-02-28;110927;128293;225978;415;254513
91;3;2022-02-28;69386;51887;40;0;35
91;4;2022-02-28;12909;81;14;1;40
91;5;2022-02-28;4785;2921;40;2;54
92;1;2022-02-28;1024996;984706;566053;1435;637190
92;2;2022-02-28;133308;150699;252300;596;285019
92;3;2022-02-28;91597;63761;72;0;76
92;4;2022-02-28;14445;140;32;1;89
92;5;2022-02-28;6801;3931;33;0;60
93;1;2022-02-28;925744;836985;402150;885;472236
93;2;2022-02-28;118073;129329;171109;439;203373
93;3;2022-02-28;54206;37757;51;0;58
93;4;2022-02-28;13620;150;30;0;85
93;5;2022-02-28;3390;1709;38;0;61
94;1;2022-02-28;890722;839780;456473;1115;518907
94;2;2022-02-28;69871;87199;174763;510;202963
94;3;2022-02-28;70109;49209;46;0;48
94;4;2022-02-28;12813;109;28;0;57
94;5;2022-02-28;4510;2420;20;2;32
95;1;2022-02-28;740940;691818;394066;971;450081
95;2;2022-02-28;108268;115328;133754;324;155620
95;3;2022-02-28;55510;40893;27;0;41
95;4;2022-02-28;11160;87;25;0;56
95;5;2022-02-28;2930;1685;27;0;39
971;1;2022-02-28;120998;110903;67173;173;69580
971;2;2022-02-28;21531;19323;7009;13;7487
971;3;2022-02-28;3821;2402;2;0;1
971;4;2022-02-28;315;11;4;0;6
971;5;2022-02-28;122;65;10;0;13
972;1;2022-02-28;141337;131050;77606;153;80254
972;2;2022-02-28;1049;973;1442;4;1574
972;3;2022-02-28;2173;1381;1;0;0
972;4;2022-02-28;2260;153;16;0;157
972;5;2022-02-28;174;102;3;0;3
973;1;2022-02-28;94532;78304;33351;22;36480
973;2;2022-02-28;718;740;973;1;1118
973;3;2022-02-28;159;91;0;0;1
973;4;2022-02-28;172;5;6;0;10
973;5;2022-02-28;503;316;1;0;1
974;1;2022-02-28;549901;534729;316608;742;327183
974;2;2022-02-28;1792;1781;3095;8;3391
974;3;2022-02-28;487;242;0;0;2
974;4;2022-02-28;17038;152;20;1;134
974;5;2022-02-28;1361;956;10;0;13
976;1;2022-02-28;158332;129805;28414;7;32504
976;2;2022-02-28;524;581;789;0;934
976;3;2022-02-28;82;45;1;0;1
976;4;2022-02-28;86;1;0;0;1
976;5;2022-02-28;215;117;5;0;5
977;1;2022-02-28;7591;7235;4448;6;4915
977;2;2022-02-28;562;535;282;5;350
977;3;2022-02-28;141;98;2;0;2
977;4;2022-02-28;295;8;0;0;6
977;5;2022-02-28;11;7;0;0;0
978;1;2022-02-28;12937;11200;5073;14;5489
978;2;2022-02-28;837;737;288;1;319
